Mi-Yen Yeh-->dasfaa:0.710320223238,tkde:0.681235077363,dawak:0.600396583144,vldb:0.592377304885,dmkd:0.556184105837,kais:0.553054002682,dexa:0.51264946879,widm:0.50457100222,cikm:0.499471629538,asunam:0.489100280583,dolap:0.485356711901,tsdm:0.480619412715,icwsm:0.41510104149,kdd:0.414428087377,kdid:0.389655339203,pakdd:0.37794951301,datamine:0.371313744233,tkdd:0.353906031952,cinq:0.338322985229,sdm:0.336661107636,icdm:0.330365229765,www:0.316049577896,adma:0.280582908604,sadm:0.256430829391,dmkdttt:0.256001189814,mlg:0.252862705679,ideal:0.22893527699,pkdd:0.227811166114,ijbidm:0.226067586654,sigkdd:0.222630952946,ida:0.218183710793,dw:0.218104231192,minenet:0.205878689376,cidm:0.196768587875,dmdw:0.19371604672,ausdm:0.190015044981,classification:0.180670296453,ijdmmm:0.171579099291,dmin:0.169761241707,mldm:0.166009720731,casdmkm:0.145984645415,fimi:0.136601872304,iat:0.12935991543,aisadm:0.129254672631,admi:0.129145088433,riao:0.116213762954,dis:0.109155121173,wkdd:0.109018120527,ijdmb:0.104297016732,webmine:0.0988049572421,incdm:0.0968938198331,ijkedm:0.0954567769181,ijict:0.0936848062385,tgis:0.0926235759999,jaif:0.0886984018732,itpro:0.0880302408302,vdmb:0.082384452142,isjgp:0.0741009847889,dq:0.0722170075919,biodatamining:0.0708310726884,icetet:0.0695597249622,edm:0.0600252341135,dmo:0.0579828028095,oir:0.051827908333,csda:0.050874023197,grc:0.0501767635413,inffus:0.0383358166469,jecr:0.0340306335126,ipl:0.0329280416438,jkm:0.0254212918834,trs:0.0252865893256,kelsi:0.024210583652,ijicte:0.0177829842893,ijkm:0.0170692755688
Luke McDowell-->asunam:0.391639872145,icwsm:0.379317147158,www:0.364583032569,dmin:0.265041618311,ijbidm:0.2575688225,ijdmmm:0.239420870669,pakdd:0.205325604902,cidm:0.201779611979,dis:0.192824337253,ausdm:0.184004427652,kais:0.177050484191,adma:0.166859028142,icetet:0.166058381207,ida:0.159999317698,kdd:0.15810616407,mldm:0.15808293992,icdm:0.153496644465,widm:0.148559451039,dawak:0.146266091989,dmkdttt:0.139291886629,jaif:0.138651649247,ijdmb:0.13507851163,incdm:0.134597436097,iat:0.126767085271,ijict:0.125961423277,pkdd:0.121059535316,webmine:0.120781263079,sigkdd:0.118929946041,cikm:0.117646462283,datamine:0.110907164722,minenet:0.107983630385,biodatamining:0.10580340171,cinq:0.103008630056,ideal:0.100709683594,aisadm:0.0987649955603,dmkd:0.0981059813954,riao:0.0931342279326,tkdd:0.0930197827386,ijkedm:0.0872081824001,tgis:0.0856148326993,mlg:0.080314258312,itpro:0.0797953537312,tsdm:0.0688942824484,sdm:0.0672291541497,trs:0.0668239697632,isjgp:0.0639439566169,kdid:0.0610825290387,fimi:0.0603208801796,admi:0.0537836202938,wkdd:0.0507466318899,dexa:0.0471696258869,ijicte:0.0459782289357,edm:0.0430311980022,oir:0.0428123032676,dasfaa:0.0353297721959,sadm:0.0332239040627,tkde:0.0330898221883,classification:0.0296393546066,kelsi:0.0293953877083,dmdw:0.0292192480594,grc:0.0272259897547,dmo:0.0216085731697,casdmkm:0.0200940086171,dolap:0.0200706991713,inffus:0.0157034797274,vldb:0.0140080631176,jkm:0.0111707168807,dw:0.00916531751381,csda:0.008468774479,ipl:0.0,vdmb:0.0,ijkm:0.0,dq:0.0,jecr:0.0
Ali B. Mamat-->cinq:0.735049125433,vdmb:0.710505161317,fimi:0.695954132134,dis:0.605123910486,kdid:0.598434651326,ausdm:0.577171722521,kelsi:0.53209673955,ijkedm:0.445968393622,dmin:0.438734936905,pakdd:0.417630709875,ijbidm:0.414808577094,adma:0.386871334172,ijdmb:0.384123143487,ijdmmm:0.380753824131,incdm:0.371011309862,sigkdd:0.369717055045,ida:0.351996272491,biodatamining:0.347690315617,admi:0.329980600624,mlg:0.326373309091,aisadm:0.324030285043,datamine:0.32156433269,cidm:0.302731852466,icdm:0.274810075779,dawak:0.274692018981,dmo:0.263591337551,casdmkm:0.260434820164,kais:0.240582589481,kdd:0.230775410135,dmkd:0.225739348393,tkdd:0.225320633736,pkdd:0.217042271878,mldm:0.20909491825,ideal:0.132303677547,sdm:0.129679027378,ijict:0.118525874692,icetet:0.117564090045,grc:0.107946836311,widm:0.101014603713,sadm:0.0909686776482,tgis:0.0747944790062,wkdd:0.0683762420506,trs:0.0577846246747,dasfaa:0.0488790972686,dq:0.0208467929492,dolap:0.0166819125023,inffus:0.0163082110236,minenet:0.0161760395487,itpro:0.0130451242974,jkm:0.00704266978869,jaif:0.00578530390475,csda:0.0046789610283,webmine:0.0,www:0.0,dmdw:0.0,dexa:0.0,ipl:0.0,edm:0.0,dw:0.0,ijkm:0.0,tkde:0.0,isjgp:0.0,classification:0.0,oir:0.0,iat:0.0,ijicte:0.0,riao:0.0,vldb:0.0,tsdm:0.0,dmkdttt:0.0,jecr:0.0,icwsm:0.0,cikm:0.0,asunam:0.0
Jianzhong Qi-->dasfaa:0.718672569284,vldb:0.536897889288,dexa:0.481842891282,tkde:0.421873467407,dw:0.410969393847,cikm:0.34625927497,mlg:0.273924328797,dolap:0.261721554944,widm:0.254572487816,kais:0.254405112673,dawak:0.212038952404,ipl:0.199941754267,dmin:0.169963910107,jaif:0.152401020174,www:0.149369950259,dmkdttt:0.128856040459,ijdmmm:0.121633654471,cinq:0.120253024513,casdmkm:0.115108650961,dmdw:0.109116937504,ideal:0.100612366252,cidm:0.0939428199945,dmkd:0.0925304252622,riao:0.0921805251527,dmo:0.0913616208348,ijbidm:0.0909304403055,ida:0.0794428598997,adma:0.0791748438558,ijdmb:0.0785563090992,classification:0.0733757697762,wkdd:0.0720421438533,minenet:0.068909925691,icdm:0.0685017374717,ausdm:0.0657478071429,pakdd:0.0646547667442,sadm:0.0619719773483,ijict:0.0589813322481,icetet:0.0488938148198,kdd:0.0473481427888,iat:0.0467754672137,datamine:0.0439334242455,pkdd:0.04219195263,tsdm:0.0419164757967,sdm:0.0410296568414,dq:0.0403847843248,inffus:0.0367975869592,ijkedm:0.0342079918472,grc:0.0331288847005,biodatamining:0.0304061481811,admi:0.0292912482076,sigkdd:0.0286911758638,kelsi:0.0274767854879,tkdd:0.0259710884117,mldm:0.022419682114,asunam:0.0222729142793,dis:0.0219826171969,ijkm:0.0217111531139,csda:0.0202806917926,isjgp:0.0201028651149,incdm:0.0179497995787,jecr:0.0148246577253,itpro:0.0139335232862,jkm:0.0115664529961,edm:0.0111134863246,kdid:0.0083737297279,oir:0.00562740907692,vdmb:0.00506516943027,fimi:0.00329068775057,webmine:0.0,aisadm:0.0,ijicte:0.0,tgis:0.0,icwsm:0.0,trs:0.0
Kui Wu-->ipl:0.445680416979,minenet:0.227177892418,classification:0.204488669559,dmo:0.196526415383,casdmkm:0.182122156958,kelsi:0.179602441092,dmin:0.174168457851,ijdmmm:0.170095881568,jaif:0.164829455863,ideal:0.12506955695,ijict:0.11335591558,ijbidm:0.111939509638,admi:0.107773591105,edm:0.107675749105,icetet:0.105507087786,incdm:0.101230894949,cidm:0.099514392527,kdd:0.0943943784263,iat:0.0900262787673,sadm:0.0899550441409,csda:0.0884361801536,sigkdd:0.0728049107288,riao:0.0682020956978,aisadm:0.0675579277754,isjgp:0.0632805913775,itpro:0.0618036014788,dis:0.0557779330577,tsdm:0.0555143610931,tkde:0.051325562254,icwsm:0.0512510665236,pkdd:0.051102502704,wkdd:0.0508983907389,tkdd:0.0490816759295,mlg:0.0457474754116,ausdm:0.0440951894595,dmdw:0.041615316402,tgis:0.0413851592027,inffus:0.0413120263885,widm:0.0389128618991,biodatamining:0.0385732171193,mldm:0.036498746609,kais:0.0362422612805,icdm:0.0361927983194,ida:0.0322236766565,ijdmb:0.0321512841625,dmkdttt:0.0319765362031,sdm:0.0311513609843,adma:0.0295149629948,grc:0.0294836891125,dmkd:0.0284962956705,pakdd:0.0269717594981,vldb:0.0264750888672,dasfaa:0.0259760165039,dexa:0.02584982555,datamine:0.023269956368,ijicte:0.0198195966817,ijkm:0.0195106103293,asunam:0.0194480442532,vdmb:0.0190527860755,dawak:0.0146665269949,ijkedm:0.0139392461656,www:0.0134752197143,jecr:0.0114916037213,dq:0.00771647236263,cikm:0.00740374661064,cinq:0.00690468661112,oir:0.0067610473416,trs:0.00209333349162,webmine:0.0,dw:0.0,jkm:0.0,dolap:0.0,fimi:0.0,kdid:0.0
Jian Wu-->cikm:0.437298040596,tkdd:0.423665896818,pkdd:0.414133066729,www:0.407793380295,adma:0.356545086579,sdm:0.353307247366,mldm:0.350587776346,icdm:0.34159953011,kdd:0.311574499964,widm:0.310347480572,aisadm:0.303042130706,kais:0.293428281838,iat:0.292533406083,admi:0.282012016933,ijkedm:0.26399565233,ida:0.263683844482,pakdd:0.25725878263,dis:0.239117417551,oir:0.235579296589,cidm:0.227751088443,mlg:0.22620924813,datamine:0.221469083553,sadm:0.21777608905,ideal:0.196264325044,ijict:0.161874221833,jecr:0.152814402782,ijdmmm:0.151344154118,riao:0.149117818012,wkdd:0.138190711169,edm:0.138185456648,ijdmb:0.138147273722,incdm:0.138138230362,tkde:0.130723338106,minenet:0.124925603259,dexa:0.119407355557,isjgp:0.114530157496,dmo:0.106120492755,ijbidm:0.104513302906,tgis:0.0974253148644,sigkdd:0.0892073126402,icetet:0.0882751896796,dmin:0.086036952998,vldb:0.0732128160544,icwsm:0.0730009889497,kelsi:0.0725445508674,itpro:0.065134381717,cinq:0.0627108730486,classification:0.060258215678,dasfaa:0.0602176680415,jaif:0.0579322828242,ijkm:0.0573953059824,ausdm:0.0553145647374,dolap:0.0533359050614,webmine:0.0529366112377,kdid:0.046044737301,jkm:0.0442856208812,ijicte:0.0440697228296,dmdw:0.0433410628172,inffus:0.041324792196,grc:0.035060882377,dq:0.0330199681914,tsdm:0.0291557532597,vdmb:0.0256042091191,dawak:0.0248168928417,fimi:0.0247368729536,dw:0.0238346216633,asunam:0.0209946163613,biodatamining:0.0179086970352,trs:0.0177152731839,dmkdttt:0.0168223437113,casdmkm:0.0143671535485,ipl:0.0111885488239,dmkd:0.00997241364733,csda:0.0
Fattaneh Taghiyareh-->sadm:0.534731592529,datamine:0.520332084162,kdd:0.464201616018,cidm:0.436887341402,sdm:0.435915591068,ijdmmm:0.422434672327,edm:0.388377750244,icdm:0.38533912416,ida:0.377352436867,mlg:0.376238557598,dmin:0.375856569954,ijkedm:0.370446409961,pakdd:0.364827798059,kais:0.360333766405,sigkdd:0.358464181519,dmkd:0.350724884557,ijbidm:0.333463876587,incdm:0.317231438915,classification:0.312676906491,pkdd:0.276112170055,ijdmb:0.262554979919,adma:0.25976854237,tkdd:0.247170151911,ideal:0.234324987642,admi:0.222125691868,tsdm:0.215991037271,dis:0.211366288314,ausdm:0.210683064134,dmkdttt:0.206889192673,mldm:0.190551537303,widm:0.190013929582,dawak:0.126489892542,biodatamining:0.121322823514,dmo:0.119465032859,vdmb:0.10932798465,ijict:0.0922298069547,tkde:0.0713408538199,aisadm:0.070026765357,dmdw:0.064083616041,dolap:0.0609513280682,icetet:0.05813757794,cikm:0.0560225674173,www:0.0538789642289,iat:0.0509922492819,grc:0.0439464524998,asunam:0.0366322541842,csda:0.0365098831198,casdmkm:0.034472572679,tgis:0.033928581127,dasfaa:0.033761578837,icwsm:0.0288983907132,fimi:0.0274239378947,riao:0.0262270699942,dexa:0.0251198262757,trs:0.0239816475578,kelsi:0.0203301689697,itpro:0.0196622887245,isjgp:0.0186460252226,minenet:0.0185604030914,dq:0.0182910800211,dw:0.0116150446459,oir:0.00683638061587,ijicte:0.00485470254563,kdid:0.0047510469603,wkdd:0.00474299034938,jecr:0.00398511137615,vldb:0.00211556738449,webmine:0.0,ipl:0.0,ijkm:0.0,jkm:0.0,inffus:0.0,cinq:0.0,jaif:0.0
Zhiyong Shen-->pkdd:0.73213706499,sdm:0.711869558492,icdm:0.678532484269,adma:0.64005225641,tkdd:0.619744259036,mldm:0.59317434084,pakdd:0.555329525414,ida:0.515983239938,cidm:0.462112269725,kais:0.458231581749,kdd:0.451428270285,datamine:0.396307263328,sadm:0.37943176638,mlg:0.361023257404,ideal:0.359727474352,ijdmmm:0.320148533997,dis:0.291551215718,classification:0.268741871789,cikm:0.252132888358,dmin:0.244799019641,ijdmb:0.222597420683,incdm:0.186886934832,vdmb:0.174769774504,tsdm:0.170927219888,tkde:0.169128040477,sigkdd:0.167202221323,edm:0.162829701064,ijbidm:0.127644336374,dmo:0.119098964777,dawak:0.103437625699,dmkdttt:0.0919238527269,grc:0.0808733903504,admi:0.0797395121857,casdmkm:0.0727651433767,dmkd:0.0719888382935,aisadm:0.0699084094586,minenet:0.0688187701849,wkdd:0.061497827065,ijkedm:0.0612815183934,widm:0.0531392560895,biodatamining:0.0479526162989,dmdw:0.0425931647607,kdid:0.0399954842251,csda:0.0299961758102,ausdm:0.0268404087151,dasfaa:0.0268131214876,dolap:0.0263284837144,fimi:0.0231409867356,dexa:0.0222086281677,trs:0.01970309557,tgis:0.0196953417919,asunam:0.0156921265384,inffus:0.0112667533001,oir:0.0102932703467,kelsi:0.00985028662846,jaif:0.00979712151428,dw:0.00782367402072,jecr:0.00602375926982,riao:0.00334849917818,jkm:0.00314963231436,webmine:0.00301153671583,iat:0.00287038457391,www:0.00212523982553,ijkm:0.000886913149068,itpro:0.0,ipl:0.0,isjgp:0.0,ijict:0.0,ijicte:0.0,dq:0.0,icetet:0.0,vldb:0.0,cinq:0.0,icwsm:0.0
Zhifang Sui-->oir:0.538426456757,jecr:0.520721130262,ijicte:0.497506116093,riao:0.403925093548,iat:0.325944066222,wkdd:0.31093891989,itpro:0.29597061033,ijict:0.276435621686,admi:0.250367995959,ijkedm:0.242923572737,ausdm:0.228370041701,ijkm:0.226357422338,edm:0.209100746934,www:0.202970597635,tgis:0.197736904338,isjgp:0.194744139903,jkm:0.194497659986,icwsm:0.193227641604,cikm:0.192776113278,kelsi:0.189076963472,aisadm:0.182408939994,ideal:0.160520968141,dmo:0.121908881301,incdm:0.113485166418,widm:0.110254531132,icetet:0.107065316058,ijbidm:0.0962589995907,asunam:0.0930189978382,dmin:0.0885774120988,adma:0.0842998023149,tkdd:0.0754868327702,casdmkm:0.0702535403054,ijdmmm:0.0696809336798,pakdd:0.059243622257,kais:0.0574798912018,jaif:0.0568001691041,vdmb:0.0536705546088,biodatamining:0.0527979695368,dmkdttt:0.0490548398504,grc:0.0432998277606,minenet:0.0432614123078,sadm:0.0427847033875,mldm:0.0408716740072,fimi:0.0397581300131,dolap:0.0395112102374,inffus:0.0388209570501,dexa:0.0385629805148,dasfaa:0.0362120131596,dis:0.032659929713,dq:0.0313086882123,tsdm:0.0298633117262,cidm:0.0298070349642,dw:0.0277196761655,mlg:0.0254538909133,ijdmb:0.0231557699147,kdd:0.0187750840348,ida:0.0176778879816,sigkdd:0.0150760463492,sdm:0.01374735656,pkdd:0.0127330307084,icdm:0.0115803345422,dawak:0.00896907019216,trs:0.00873570371167,dmdw:0.00820373324491,classification:0.00682902653864,webmine:0.00617100325883,kdid:0.00501967159843,cinq:0.00441749222521,dmkd:0.00399745931237,datamine:0.00385669526441,csda:0.00245070784241,tkde:0.00208715264363,vldb:0.00201627610574,ipl:0.00173294864177
Ho-Fung Leung-->dmo:0.632573918936,mldm:0.117039879848,dasfaa:0.110402111794,iat:0.0971509487268,dis:0.0888138136531,dexa:0.0879279579254,vldb:0.0837319713644,tkde:0.0662990355635,dw:0.0657082003228,dawak:0.0576887888787,cikm:0.0548742984718,aisadm:0.0540489798104,webmine:0.0515155582909,kais:0.0492923098379,widm:0.0486583189523,dmkdttt:0.0485523439187,fimi:0.045877838047,ijbidm:0.0446781441042,mlg:0.0439046490742,cinq:0.0408980338906,dmin:0.040387788323,dolap:0.0335741563474,pakdd:0.0331776633144,cidm:0.0323937864929,jaif:0.0291010318852,ida:0.0265040639011,incdm:0.0255304243969,datamine:0.0231207456779,dmkd:0.0222845033228,adma:0.0211700088027,www:0.021007482256,ijdmmm:0.0194491242436,pkdd:0.0191772669758,icdm:0.0177147301036,ausdm:0.0177024559705,dmdw:0.0166120381944,kdid:0.0164332862576,riao:0.015075220591,ideal:0.0133043949635,kdd:0.0130207482813,biodatamining:0.0124516352968,ijdmb:0.0121143225262,tsdm:0.0109748369946,isjgp:0.0109569565207,wkdd:0.00835154911637,admi:0.00780467827755,tgis:0.00662880368133,icetet:0.0064219652114,trs:0.00587392769233,sdm:0.00581357346608,grc:0.00561173975878,ipl:0.00534521876999,sigkdd:0.00528385261998,sadm:0.00464072666723,tkdd:0.00337132101067,itpro:0.0,edm:0.0,csda:0.0,vdmb:0.0,ijkm:0.0,classification:0.0,oir:0.0,kelsi:0.0,ijict:0.0,ijicte:0.0,dq:0.0,ijkedm:0.0,jkm:0.0,inffus:0.0,minenet:0.0,jecr:0.0,icwsm:0.0,casdmkm:0.0,asunam:0.0
Sujith Ravi-->www:0.337432205208,webmine:0.322503177212,widm:0.30695233128,csda:0.293127251374,riao:0.279121894711,casdmkm:0.277033289721,cikm:0.275206580064,sadm:0.188002635168,dq:0.175537664394,biodatamining:0.166822662735,oir:0.154545911709,ijbidm:0.151076394826,ijdmmm:0.144415842525,dmin:0.139789287639,classification:0.135184550318,dmo:0.120791002787,adma:0.113709456865,ideal:0.107957476646,minenet:0.0978972290881,dexa:0.0935617759913,icwsm:0.0919667255196,ida:0.091335013101,pkdd:0.0903233015262,kais:0.0848767077825,tgis:0.0824795123674,ausdm:0.075200576219,cidm:0.0743938935272,edm:0.0696916749433,mldm:0.0666844312232,ijdmb:0.0586816437756,vdmb:0.0581696451459,ijict:0.0569533453268,dasfaa:0.0545933282595,pakdd:0.0489563630384,icdm:0.0473364213007,sdm:0.0461056381259,jecr:0.0428718465486,dis:0.0408196173845,dawak:0.0361944684327,ijkedm:0.0325392366893,dmkd:0.0322448882967,kelsi:0.0310780712496,ijicte:0.0271676921663,tsdm:0.0236325522623,kdd:0.0236219459437,kdid:0.0225430429839,iat:0.0212313930425,vldb:0.0199241993081,incdm:0.0194388769724,tkde:0.0171332238806,fimi:0.0141139838494,itpro:0.0,dmdw:0.0,sigkdd:0.0,ipl:0.0,aisadm:0.0,dw:0.0,datamine:0.0,ijkm:0.0,tkdd:0.0,isjgp:0.0,admi:0.0,icetet:0.0,wkdd:0.0,jkm:0.0,inffus:0.0,cinq:0.0,dmkdttt:0.0,dolap:0.0,mlg:0.0,grc:0.0,asunam:0.0,trs:0.0,jaif:0.0
Zhigang Wang-->dasfaa:0.480496983182,dexa:0.369370683156,vldb:0.34786465336,mlg:0.334123717948,tkde:0.327478703487,dw:0.288970339307,vdmb:0.263475410118,kais:0.251591571542,jkm:0.250839285729,ipl:0.241584980324,ijkm:0.240489194635,cikm:0.227975389869,classification:0.225004947994,widm:0.220151143512,ijdmb:0.219923812112,dawak:0.18948349687,ida:0.177094485647,jaif:0.161801826363,dolap:0.160517510142,ijict:0.159401075054,sdm:0.158085759548,dis:0.155094004974,ijdmmm:0.153731098398,ijbidm:0.152233572049,biodatamining:0.15096148841,tsdm:0.145676540406,adma:0.132934103796,datamine:0.125062610878,sadm:0.124681198304,wkdd:0.120773078402,dmkd:0.116887039364,ijkedm:0.114767241924,icdm:0.113969920143,tkdd:0.108063986272,cidm:0.100388695821,fimi:0.0998247032722,pakdd:0.0959843975738,casdmkm:0.0957544281793,cinq:0.0948106863841,www:0.0872756297728,inffus:0.0852079768018,icetet:0.0826255136851,incdm:0.0820175495591,csda:0.079405779238,riao:0.0792933828066,dmin:0.0769656893905,ideal:0.0754866277822,dmdw:0.07300123004,grc:0.07188667349,mldm:0.0643294256256,aisadm:0.0635225896346,iat:0.0607253858857,pkdd:0.0595748517088,admi:0.0575324822524,trs:0.045114564795,itpro:0.03932616493,sigkdd:0.0386178993039,dmkdttt:0.0375686487394,asunam:0.0357218589618,tgis:0.034919571353,kdd:0.0332571115732,edm:0.0326093534832,oir:0.0240427247056,webmine:0.0212845478644,icwsm:0.0207689711189,dmo:0.0204607212827,kelsi:0.0185273587789,ijicte:0.0166088637649,kdid:0.0163508844327,jecr:0.0142929410286,isjgp:0.0118964584355,ausdm:0.0,dq:0.0,minenet:0.0
Andreas Dengel-->icwsm:0.348038293723,minenet:0.202558294244,www:0.19744839716,itpro:0.183863050017,cikm:0.179884925603,isjgp:0.158070398494,widm:0.151925222714,jkm:0.146231840636,ijkm:0.140361121888,edm:0.131266290838,ijdmmm:0.1212346704,tgis:0.109958249202,sigkdd:0.108505687385,oir:0.0918541748333,webmine:0.0893655859133,kdd:0.0861853105842,riao:0.0838956466487,asunam:0.0823956508379,ijicte:0.0732292255679,biodatamining:0.0715210528805,tkdd:0.0707863071523,ijbidm:0.0696100648345,aisadm:0.0631276192361,casdmkm:0.0624127059619,cidm:0.0607713790465,icetet:0.0539858408001,dolap:0.0530283315109,iat:0.0522384395965,ijkedm:0.0518221132937,wkdd:0.0476932973355,adma:0.0422094273044,dmkdttt:0.0418313350523,dmin:0.0416271500787,dis:0.0401939099199,ausdm:0.0397013623454,tsdm:0.0365274230135,dmo:0.0362483918864,classification:0.0353107766644,incdm:0.032205228099,ipl:0.0314748213396,pkdd:0.028105767626,ijict:0.0254775974323,kais:0.0251236504755,dexa:0.0237161879166,cinq:0.0232397607564,admi:0.0213611849514,vdmb:0.0196788798176,tkde:0.0184323723357,dawak:0.0153359015091,kelsi:0.0145198425568,kdid:0.0138867841483,mldm:0.0138521050003,jecr:0.0136423647672,grc:0.013217807753,pakdd:0.0129247656211,dmkd:0.0128862399195,jaif:0.0104206317705,dmdw:0.00931781836061,inffus:0.00848834044433,trs:0.00723279784426,dasfaa:0.00602230109076,sdm:0.00461652734093,sadm:0.00426409708391,ida:0.00388864157889,ideal:0.0034430722813,icdm:0.00328711309869,mlg:0.00326430709828,csda:0.00235649046186,dw:0.0,datamine:0.0,dq:0.0,vldb:0.0,fimi:0.0,ijdmb:0.0
Bart Preneel-->tgis:0.326570226323,itpro:0.288645474665,icetet:0.258495845473,minenet:0.226312804884,isjgp:0.204135351932,classification:0.165696379328,edm:0.133628979957,tsdm:0.132100629335,wkdd:0.12210888381,adma:0.120277098824,dmin:0.119560879158,ijbidm:0.110813688983,sadm:0.104955782543,ida:0.101108072392,ijicte:0.094864417497,dawak:0.0892463463304,ijdmmm:0.0878830857862,pakdd:0.0840311937663,cidm:0.0817851706963,dmdw:0.0807147121801,sdm:0.0804310338787,jecr:0.0780890224616,ideal:0.0773611503107,kais:0.0773556985565,datamine:0.0773162958643,ijkm:0.075031021332,ijict:0.0733210121798,dmkd:0.0720569597549,casdmkm:0.0708823141175,icdm:0.0705036496371,dolap:0.0649968343275,inffus:0.0643696479878,mldm:0.0635518467935,aisadm:0.0618311778783,jkm:0.0615204241937,vdmb:0.0605738117965,tkde:0.0571090511776,dexa:0.0437091029882,incdm:0.0435627590473,ijkedm:0.0427902109106,sigkdd:0.039231686451,biodatamining:0.0379993215324,tkdd:0.0370336302062,iat:0.0366011400304,oir:0.0350146859444,cinq:0.0339734317499,dmkdttt:0.0328434946731,ausdm:0.0318380352673,vldb:0.0293529947393,widm:0.028094336419,csda:0.0272876194968,kdd:0.0270940719434,pkdd:0.0257226492369,grc:0.0242309907736,dw:0.020724817197,kelsi:0.019584111386,www:0.0184527005539,dis:0.0180315241303,dasfaa:0.0177855317973,dmo:0.0166690439495,ijdmb:0.0160879007758,fimi:0.015732588163,jaif:0.0144254719502,ipl:0.0139603379591,trs:0.0137578120963,kdid:0.00987138259853,riao:0.0096105608288,mlg:0.00597883117785,icwsm:0.00572244104413,webmine:0.0,dq:0.0,admi:0.0,cikm:0.0,asunam:0.0
Qiang Ding-->dmkdttt:0.428583466034,dawak:0.35941932489,ijbidm:0.341211921238,pakdd:0.330589497151,ida:0.313066450781,icwsm:0.312318224804,adma:0.309188450594,dmin:0.306098237546,mldm:0.287218706918,asunam:0.281379837878,cidm:0.267071823068,ausdm:0.257869745364,icdm:0.256628282787,kdd:0.249196839574,dmkd:0.229549647808,fimi:0.22166572405,datamine:0.218213579966,cinq:0.214278953385,dis:0.207162506152,pkdd:0.206593345278,kais:0.201470282444,dmdw:0.17920015862,incdm:0.174641979253,dolap:0.173902813585,ijdmmm:0.172568192891,ijdmb:0.160699180673,ideal:0.149948762418,cikm:0.145418381139,webmine:0.141213107321,mlg:0.136573212554,sdm:0.134842129498,kdid:0.131874371943,tkdd:0.11831922795,dmo:0.117807163745,www:0.116652336444,widm:0.116413926419,wkdd:0.115642335222,jaif:0.114796198013,sigkdd:0.107236861346,minenet:0.106702130429,tgis:0.101396178298,tsdm:0.0990147660309,iat:0.09810288479,biodatamining:0.0951289395343,dasfaa:0.0946623871332,tkde:0.0770721565834,icetet:0.0758019588388,sadm:0.065596600294,riao:0.0584490968305,vdmb:0.0544074920076,aisadm:0.0520460025919,vldb:0.0493026188383,grc:0.0392169789349,ijict:0.0366059616565,edm:0.0351469227842,trs:0.0332636335635,oir:0.0267262537705,classification:0.0253840045651,ijkedm:0.0242308121593,itpro:0.0239974204972,admi:0.0216619431544,inffus:0.0204545965044,ijicte:0.0201005589149,jkm:0.0168101874069,isjgp:0.0160571713082,kelsi:0.0151557006726,jecr:0.00761150881806,casdmkm:0.0073248501831,dw:0.0065448712231,dexa:0.00333859098118,ipl:0.003032283757,csda:0.0,ijkm:0.0,dq:0.0
Hossein Vahabi-->icwsm:0.331231086043,www:0.322913099572,cikm:0.253187929109,edm:0.244134203884,ijicte:0.237498511608,webmine:0.227584868318,itpro:0.211094175375,widm:0.195781330813,tkdd:0.192305839901,sigkdd:0.184444010409,minenet:0.168667185068,isjgp:0.161324338047,sadm:0.154741453354,tgis:0.137484275534,oir:0.133901459576,kdd:0.133430741284,admi:0.110666161621,inffus:0.0970774229561,datamine:0.0945009835174,riao:0.0912525777849,asunam:0.0904171649355,ida:0.080222645107,kais:0.0777431506951,ijdmmm:0.0734141045532,jaif:0.0675085185482,cidm:0.0620223811054,iat:0.0600891965782,tsdm:0.0574445197753,classification:0.0548611433156,dolap:0.0541199399776,icetet:0.0448256262478,pkdd:0.0389739829916,jecr:0.0378653964861,adma:0.0378409288361,dmo:0.0342621216781,vdmb:0.0308701027922,ausdm:0.0306447482925,cinq:0.0306307123307,ideal:0.0286257507092,tkde:0.0284402080885,vldb:0.02711620216,dis:0.0251285494139,ijbidm:0.0237156745065,dmin:0.0228415833971,icdm:0.022098508847,casdmkm:0.0203831172039,sdm:0.0188348398588,ijkedm:0.0187073261029,dexa:0.0174325426994,kelsi:0.015146242178,dawak:0.0149936938122,ijkm:0.0143408921897,dmkd:0.0133517277816,mlg:0.0128865465635,dasfaa:0.0118976270978,incdm:0.0111757203793,fimi:0.00811435440242,dmdw:0.0,ipl:0.0,aisadm:0.0,dw:0.0,csda:0.0,pakdd:0.0,mldm:0.0,biodatamining:0.0,ijict:0.0,dq:0.0,wkdd:0.0,jkm:0.0,dmkdttt:0.0,ijdmb:0.0,grc:0.0,kdid:0.0,trs:0.0
